# host=LAPTOP-0GOGN00R,cpu=Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,compiler=gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0
# dataset=MEDIUM,mode=full,date=20260417_121543
benchmark,dataset,strategy,threads,is_parallel,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency_pct,verified,max_error,allocations
cholesky,MEDIUM,sequential,1,false,10.6487,11.1392,11.2333,0.6896,2.00,1.00,,PASS,0.00e+00,0
cholesky,MEDIUM,threads_static,1,true,6.0898,6.1662,6.3304,0.2760,3.50,1.75,174.86,PASS,0.00e+00,0
cholesky,MEDIUM,tiled,1,true,7.5770,7.8746,7.9148,0.3308,2.82,1.41,140.54,PASS,6.50e-14,0
cholesky,MEDIUM,simd,1,false,10.1148,10.5221,10.4548,0.2343,2.11,1.05,,PASS,5.56e-12,0
cholesky,MEDIUM,tasks,1,true,7.5825,7.8337,8.0313,0.4486,2.81,1.40,140.44,PASS,6.50e-14,0
cholesky,MEDIUM,sequential,2,false,10.6787,11.0890,11.0439,0.2611,2.00,1.00,,PASS,0.00e+00,0
cholesky,MEDIUM,threads_static,2,true,6.4105,6.7116,6.6509,0.1234,3.33,1.67,83.29,PASS,0.00e+00,0
cholesky,MEDIUM,tiled,2,true,4.1892,4.3032,4.3139,0.1091,5.09,2.55,127.45,PASS,6.50e-14,0
cholesky,MEDIUM,simd,2,false,10.1352,10.6499,10.5909,0.3862,2.10,1.05,,PASS,5.56e-12,0
cholesky,MEDIUM,tasks,2,true,4.7881,4.9857,4.9833,0.1583,4.46,2.23,111.51,PASS,6.50e-14,0
cholesky,MEDIUM,sequential,4,false,10.7009,11.0417,11.2231,0.7484,1.99,1.00,,PASS,0.00e+00,0
cholesky,MEDIUM,threads_static,4,true,4.9318,4.9512,5.0359,0.2155,4.33,2.17,54.24,PASS,0.00e+00,0
cholesky,MEDIUM,tiled,4,true,2.3871,2.3977,2.4065,0.0217,8.94,4.48,112.07,PASS,6.50e-14,0
cholesky,MEDIUM,simd,4,false,10.1468,10.6136,10.4628,0.2655,2.10,1.05,,PASS,5.56e-12,0
cholesky,MEDIUM,tasks,4,true,3.9414,3.9695,4.2510,0.3757,5.41,2.71,67.87,PASS,6.50e-14,0
cholesky,MEDIUM,sequential,8,false,10.7716,11.0815,11.0499,0.2584,1.98,1.00,,PASS,0.00e+00,0
cholesky,MEDIUM,threads_static,8,true,3.9369,4.3670,4.2560,0.2133,5.42,2.74,34.20,PASS,0.00e+00,0
cholesky,MEDIUM,tiled,8,true,1.8975,1.9053,1.9129,0.0176,11.24,5.68,70.96,PASS,6.50e-14,0
cholesky,MEDIUM,simd,8,false,10.3317,10.7292,10.7699,0.3938,2.06,1.04,,PASS,5.56e-12,0
cholesky,MEDIUM,tasks,8,true,4.8292,4.8719,5.3403,1.1889,4.42,2.23,27.88,PASS,6.50e-14,0
