# schema=1; language=openmp; host=LAPTOP-0GOGN00R; os=Linux-6.6.87.2-microsoft-standard-WSL2; cpu=Intel(R)_Core(TM)_i5-10210U_CPU_@_1.60GHz; cores_logical=8; cores_physical=4; compiler=gcc; compiler_version=11; run_date=2026-04-18T00:54:01+02:00; project=openmp_polybench_refactored; git_commit=af15da5b63e6
# benchmark=cholesky; dataset=MEDIUM; iterations=7; warmup=3; mode=full; omp_proc_bind=close; omp_places=cores; omp_schedule=unset
benchmark,dataset,strategy,threads,is_parallel,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency_pct,verified,max_error,allocations
cholesky,MEDIUM,sequential,1,false,10.1319,10.3714,10.5269,0.4858,2.11,1.00,,PASS,0.00e+00,0
cholesky,MEDIUM,threads_static,1,true,5.7851,5.9457,6.0165,0.3363,3.69,1.75,175.14,PASS,0.00e+00,0
cholesky,MEDIUM,tiled,1,true,7.2472,7.6328,7.7545,0.5373,2.94,1.40,139.80,PASS,6.50e-14,0
cholesky,MEDIUM,simd,1,false,9.6395,10.0126,10.2708,0.7102,2.21,1.05,,PASS,5.56e-12,0
cholesky,MEDIUM,tasks,1,true,7.1997,7.6729,7.7282,0.4678,2.96,1.41,140.73,PASS,6.50e-14,0
cholesky,MEDIUM,sequential,2,false,10.2066,10.6454,10.6512,0.4186,2.09,1.00,,PASS,0.00e+00,0
cholesky,MEDIUM,threads_static,2,true,6.1314,6.2673,6.9114,1.6984,3.48,1.66,83.23,PASS,0.00e+00,0
cholesky,MEDIUM,tiled,2,true,3.8692,3.9874,4.1360,0.4512,5.51,2.64,131.89,PASS,6.50e-14,0
cholesky,MEDIUM,simd,2,false,9.7160,10.0023,10.0243,0.2309,2.20,1.05,,PASS,5.56e-12,0
cholesky,MEDIUM,tasks,2,true,4.7017,4.8188,4.8077,0.0814,4.54,2.17,108.54,PASS,6.50e-14,0
cholesky,MEDIUM,sequential,4,false,10.2797,10.5479,10.8463,0.8870,2.08,1.00,,PASS,0.00e+00,0
cholesky,MEDIUM,threads_static,4,true,4.5453,4.6159,4.8251,0.4488,4.69,2.26,56.54,PASS,0.00e+00,0
cholesky,MEDIUM,tiled,4,true,2.1945,2.4650,2.5656,0.4493,9.72,4.68,117.11,PASS,6.50e-14,0
cholesky,MEDIUM,simd,4,false,9.5689,10.1409,10.4754,0.8750,2.23,1.07,,PASS,5.56e-12,0
cholesky,MEDIUM,tasks,4,true,3.6455,4.1592,4.2731,0.5420,5.85,2.82,70.50,PASS,6.50e-14,0
cholesky,MEDIUM,sequential,8,false,10.0432,11.4293,11.7018,1.0287,2.12,1.00,,PASS,0.00e+00,0
cholesky,MEDIUM,threads_static,8,true,3.9269,6.8044,7.7420,3.8090,5.43,2.56,31.97,PASS,0.00e+00,0
cholesky,MEDIUM,tiled,8,true,1.7820,1.8408,3.0023,2.9011,11.97,5.64,70.45,PASS,6.50e-14,0
cholesky,MEDIUM,simd,8,false,10.2790,10.3983,10.8782,0.8631,2.08,0.98,,PASS,5.56e-12,0
cholesky,MEDIUM,tasks,8,true,4.5227,4.6450,5.6275,2.6548,4.72,2.22,27.76,PASS,6.50e-14,0
