# schema=1; language=openmp; host=LAPTOP-0GOGN00R; os=Linux-6.6.87.2-microsoft-standard-WSL2; cpu=Intel(R)_Core(TM)_i5-10210U_CPU_@_1.60GHz; cores_logical=8; cores_physical=4; compiler=gcc; compiler_version=11; run_date=2026-04-18T00:54:01+02:00; project=openmp_polybench_refactored; git_commit=af15da5b63e6
# benchmark=correlation; dataset=MEDIUM; iterations=7; warmup=3; mode=full; omp_proc_bind=close; omp_places=cores; omp_schedule=unset
benchmark,dataset,strategy,threads,is_parallel,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency_pct,verified,max_error,allocations
correlation,MEDIUM,sequential,1,false,7.8283,8.0729,8.1933,0.3889,2.10,1.00,,PASS,0.00e+00,0
correlation,MEDIUM,threads_static,1,true,7.8514,8.0469,8.2047,0.4302,2.10,1.00,99.71,PASS,0.00e+00,0
correlation,MEDIUM,threads_dynamic,1,true,7.6511,8.0503,7.9707,0.3044,2.15,1.02,102.32,PASS,0.00e+00,0
correlation,MEDIUM,tiled,1,true,6.9409,7.2111,7.2421,0.3256,2.37,1.13,112.78,PASS,5.55e-16,0
correlation,MEDIUM,tasks,1,true,7.1119,7.5280,7.4912,0.2945,2.32,1.10,110.07,PASS,5.55e-16,0
correlation,MEDIUM,sequential,2,false,7.7421,8.1545,8.1853,0.4322,2.13,1.00,,PASS,0.00e+00,0
correlation,MEDIUM,threads_static,2,true,5.8786,6.1088,6.1029,0.1596,2.80,1.32,65.85,PASS,0.00e+00,0
correlation,MEDIUM,threads_dynamic,2,true,4.0360,4.1553,4.1637,0.1033,4.08,1.92,95.91,PASS,0.00e+00,0
correlation,MEDIUM,tiled,2,true,3.9853,4.0052,4.0660,0.1065,4.13,1.94,97.13,PASS,5.55e-16,0
correlation,MEDIUM,tasks,2,true,3.9868,4.1215,4.1722,0.1684,4.13,1.94,97.10,PASS,5.55e-16,0
correlation,MEDIUM,sequential,4,false,7.9899,8.0892,8.3025,0.4338,2.06,1.00,,PASS,0.00e+00,0
correlation,MEDIUM,threads_static,4,true,3.5834,3.7693,3.8740,0.2951,4.60,2.23,55.74,PASS,0.00e+00,0
correlation,MEDIUM,threads_dynamic,4,true,2.1535,2.2142,2.2006,0.0295,7.65,3.71,92.75,PASS,0.00e+00,0
correlation,MEDIUM,tiled,4,true,2.0935,2.1138,2.1278,0.0542,7.87,3.82,95.41,PASS,5.55e-16,0
correlation,MEDIUM,tasks,4,true,1.8943,2.0270,2.0211,0.0668,8.70,4.22,105.44,PASS,5.55e-16,0
correlation,MEDIUM,sequential,8,false,7.7342,7.9637,7.9869,0.1967,2.13,1.00,,PASS,0.00e+00,0
correlation,MEDIUM,threads_static,8,true,2.0766,2.0961,2.5547,0.9136,7.93,3.72,46.55,PASS,0.00e+00,0
correlation,MEDIUM,threads_dynamic,8,true,1.1157,1.1290,1.3054,0.3117,14.76,6.93,86.65,PASS,0.00e+00,0
correlation,MEDIUM,tiled,8,true,1.9304,1.9881,2.3787,0.8739,8.53,4.01,50.08,PASS,5.55e-16,0
correlation,MEDIUM,tasks,8,true,1.0691,1.2564,1.3175,0.2354,15.41,7.23,90.43,PASS,5.55e-16,0
