# host=LAPTOP-0GOGN00R,cpu=Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,compiler=gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0
# dataset=MEDIUM,mode=full,date=20260417_121623
benchmark,dataset,strategy,threads,is_parallel,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency_pct,verified,max_error,allocations
nussinov,MEDIUM,sequential,1,false,15.5271,15.8566,16.1578,0.7003,1.34,1.00,,PASS,0.00e+00,0
nussinov,MEDIUM,wavefront,1,true,16.7835,16.9054,17.0088,0.2190,1.24,0.93,92.51,PASS,0.00e+00,0
nussinov,MEDIUM,tiled,1,true,16.7942,17.1008,17.0362,0.1435,1.24,0.92,92.46,PASS,0.00e+00,0
nussinov,MEDIUM,tasks,1,true,16.9470,17.2945,17.2521,0.1532,1.23,0.92,91.62,PASS,0.00e+00,0
nussinov,MEDIUM,simd,1,false,14.8934,15.6035,15.5471,0.3353,1.40,1.04,,PASS,0.00e+00,0
nussinov,MEDIUM,sequential,2,false,15.8031,15.9270,15.9777,0.1744,1.32,1.00,,PASS,0.00e+00,0
nussinov,MEDIUM,wavefront,2,true,16.8683,17.1908,17.1961,0.2012,1.24,0.94,46.84,PASS,0.00e+00,0
nussinov,MEDIUM,tiled,2,true,17.8016,17.9072,17.9295,0.1040,1.17,0.89,44.39,PASS,0.00e+00,0
nussinov,MEDIUM,tasks,2,true,17.5249,17.8489,17.9273,0.4047,1.19,0.90,45.09,PASS,0.00e+00,0
nussinov,MEDIUM,simd,2,false,15.5665,15.9859,16.7578,1.7761,1.34,1.02,,PASS,0.00e+00,0
nussinov,MEDIUM,sequential,4,false,15.5455,15.7988,16.0811,0.5667,1.34,1.00,,PASS,0.00e+00,0
nussinov,MEDIUM,wavefront,4,true,4.8095,9.0525,7.6808,1.9768,4.33,3.23,80.81,PASS,0.00e+00,0
nussinov,MEDIUM,tiled,4,true,9.8587,9.9348,9.9693,0.1130,2.11,1.58,39.42,PASS,0.00e+00,0
nussinov,MEDIUM,tasks,4,true,7.5243,8.9672,8.7954,0.6312,2.77,2.07,51.65,PASS,0.00e+00,0
nussinov,MEDIUM,simd,4,false,15.0424,15.4359,15.4345,0.2566,1.38,1.03,,PASS,0.00e+00,0
nussinov,MEDIUM,sequential,8,false,15.9945,16.6556,16.4796,0.3808,1.30,1.00,,PASS,0.00e+00,0
nussinov,MEDIUM,wavefront,8,true,5.1901,5.2707,6.9943,3.8953,4.01,3.08,38.52,PASS,0.00e+00,0
nussinov,MEDIUM,tiled,8,true,10.6613,11.0198,11.1756,0.4087,1.95,1.50,18.75,PASS,0.00e+00,0
nussinov,MEDIUM,tasks,8,true,8.7664,8.9590,9.1174,0.3440,2.38,1.82,22.81,PASS,0.00e+00,0
nussinov,MEDIUM,simd,8,false,15.4739,15.5892,16.5069,2.0687,1.35,1.03,,PASS,0.00e+00,0
